Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
22.5927,37.66,54.7722,91,85,0.204102
22.7275,37.66,93.8352,130,86,0.204102
22.8642,37.66,85.5302,122,86,0.204102
23.0722,29.46,90.8762,119,86,0.204102
23.2233,29.46,94.4816,123,86,0.204102
23.3714,29.46,33.0578,62,86,0.204102
23.5204,29.46,31.3525,60,86,0.204102
23.6618,29.46,40.0029,69,86,0.204102
23.8281,29.46,34.6435,63,86,0.204102
23.9763,29.46,32.0562,61,86,0.204102
24.274,29.64,34.5202,63,85,0.204102
24.4335,29.64,108.495,137,86,0.204102
24.5774,29.64,34.5269,63,86,0.204102
24.7388,29.64,34.0978,63,85,0.204102
24.89,29.64,30.4302,59,85,0.204102
25.0385,29.64,32.4096,61,85,0.204102
25.1839,29.9,33.4984,62,85,0.204102
25.4722,29.9,31.3726,60,85,0.204102
25.6248,29.9,97.5095,126,85,0.204102
25.7761,29.9,31.499,60,85,0.204102
25.9255,29.9,34.1802,63,85,0.204102
26.0733,31.31,32.517,63,85,0.204102
26.2312,31.31,51.2364,82,85,0.204102
26.3768,31.31,31.5765,62,84,0.204102
26.643,31.31,35.2331,66,84,0.204102
26.778,31.31,119.533,150,85,0.204102
26.9157,31.31,46.0802,77,85,0.204102
27.0506,33.83,38.1957,71,85,0.204102
27.1906,33.83,46.8761,79,85,0.204102
27.3389,33.83,30.1238,63,84,0.204102
27.4862,33.83,31.3299,64,84,0.204102
27.6429,33.83,43.7475,76,84,0.204102
27.9144,33.83,60.9263,93,84,0.204102
28.0575,22.06,90.7694,112,84,0.204102
28.2045,22.06,31.4953,53,84,0.204102
28.3426,20.84,70.2671,90,84,0.204102
28.4936,19.76,37.8673,56,84,0.204102
28.6481,18.83,36.5179,54,84,0.204102
28.8026,18.47,33.2055,51,84,0.204102
29.1183,17.96,34.4225,51,84,0.204102
29.2777,16.2,109.119,125,84,0.204102
29.4287,16.2,31.975,47,84,0.204102
29.5799,16.2,63.582,79,84,0.204102
29.7259,16.2,33.9812,49,83,0.204102
29.8777,16.2,30.368,46,83,0.204102
30.0297,16.2,34.4451,50,83,0.204102
30.2908,39.74,32.9412,71,83,0.204102
30.4447,39.74,91.5739,130,83,0.204102
30.5999,39.74,28.6895,67,83,0.204102
30.7739,39.74,34.5873,73,83,0.204102
30.9345,39.74,35.4229,74,83,0.204102
31.0899,39.74,35.0292,74,83,0.204102
31.2285,39.74,36.2493,75,83,0.204102
31.4401,45.24,39.3267,84,83,0.204102
31.5852,45.24,67.6799,112,83,0.204102
31.7257,45.24,31.5514,76,83,0.204102
31.8839,45.24,33.3196,78,83,0.204102
32.0205,45.24,32.1191,77,83,0.204102
32.1692,45.24,36.2408,81,83,0.204102
32.3139,50.64,29.8028,79,83,0.204102
32.6336,50.64,35.6536,85,83,0.204102
32.7979,50.64,111.175,161,83,0.204102
32.947,50.64,56.8761,106,83,0.204102
